neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,log_price
Manhattan,Chelsea,40.73945,-74.00133,Entire home/apt,30,56,0.8,1,187,5.529429087511423
Brooklyn,Greenpoint,40.7284,-73.95747,Entire home/apt,30,0,0.0,1,238,5.634789603169249
Brooklyn,Park Slope,40.67681,-73.97635,Entire home/apt,5,248,3.55,1,112,5.973809611869261
Manhattan,Kips Bay,40.74489,-73.97798,Entire home/apt,30,17,0.24,7,365,5.883322388488279
Brooklyn,Fort Greene,40.69357,-73.97124,Private room,30,159,2.21,2,57,4.276666119016055
Manhattan,Upper East Side,40.78477,-73.94988,Entire home/apt,30,12,0.18,61,335,5.393627546352362
Manhattan,East Harlem,40.785671,-73.949539,Entire home/apt,30,12,0.18,61,342,5.3471075307174685
Queens,Flushing,40.74525,-73.82951,Entire home/apt,30,56,1.43,4,263,4.31748811353631
Queens,Maspeth,40.72201324714594,-73.89256662838329,Entire home/apt,3,75,2.24,1,326,5.5093883366279774
Queens,Astoria,40.7633876,-73.90972579999999,Entire home/apt,1,356,4.97,1,276,5.293304824724492
Brooklyn,Williamsburg,40.70864,-73.96613,Entire home/apt,30,91,1.29,1,165,5.3706380281276624
Brooklyn,Fort Hamilton,40.61914,-74.0262,Private room,40,1,0.02,1,302,3.8918202981106265
Manhattan,Midtown,40.76463,-73.98107,Private room,30,0,0.0,1,365,5.598421958998375
Manhattan,Midtown,40.74644,-73.98448,Private room,1,354,5.58,10,359,5.840641657373398
Manhattan,Midtown,40.74519,-73.98244,Private room,1,57,0.97,10,363,5.902633333401366
Manhattan,Midtown,40.74645,-73.98253,Private room,1,220,3.45,10,361,5.966146739123692
Manhattan,Midtown,40.74715,-73.9846,Private room,1,48,0.81,10,357,5.953243334287785
Manhattan,Midtown,40.74579,-73.98447,Private room,1,104,1.64,10,363,5.971261839790462
Manhattan,Midtown,40.74502,-73.98428,Private room,1,204,3.97,10,356,5.973809611869261
Manhattan,Midtown,40.74519,-73.9839,Private room,1,7,0.37,10,347,6.253828811575473
Manhattan,Tribeca,40.71884,-74.00283,Private room,1,21,0.3,4,0,6.142037405587356
Manhattan,East Village,40.72702,-73.98441,Entire home/apt,30,41,0.58,4,255,5.857933154483459
Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,31,1,0.02,1148,204,6.133398042996649
Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,31,0,0.0,1148,144,6.1070228877422545
Manhattan,Theater District,40.7607614,-73.98610550000001,Entire home/apt,31,0,0.0,1148,129,5.921578419643816
Manhattan,Theater District,40.7607614,-73.98610550000001,Entire home/apt,31,0,0.0,1148,220,6.338594078203183
Manhattan,Theater District,40.7607614,-73.98610550000001,Entire home/apt,31,0,0.0,1148,300,6.246106765481563
Manhattan,Upper East Side,40.78111,-73.94586,Entire home/apt,30,8,0.14,77,336,5.117993812416755
Manhattan,Kips Bay,40.74,-73.97855,Entire home/apt,30,0,0.0,77,360,5.424950017481403
Manhattan,Upper East Side,40.78314,-73.95099,Private room,30,1,0.01,77,365,4.605170185988092
Brooklyn,Williamsburg,40.70615,-73.93106,Private room,30,9,0.13,7,151,4.1588830833596715
Brooklyn,Prospect-Lefferts Gardens,40.6602897644043,-73.94403839111328,Private room,4,43,3.36,2,29,5.241747015059643
Bronx,Concourse Village,40.82859,-73.91957,Private room,30,9,0.13,1,269,3.8918202981106265
Brooklyn,Prospect-Lefferts Gardens,40.65774,-73.96127,Entire home/apt,145,1,0.01,2,0,4.442651256490317
Brooklyn,Bedford-Stuyvesant,40.68852,-73.92905,Entire home/apt,30,28,0.39,2,335,5.003946305945459
Manhattan,Kips Bay,40.74533462524414,-73.9798583984375,Entire home/apt,30,17,0.24,138,353,5.1298987149230735
Brooklyn,East New York,40.67334,-73.87495,Entire home/apt,30,59,0.83,1,271,4.51085950651685
Manhattan,Tribeca,40.71578,-74.00978,Private room,1,0,0.0,8,365,4.969813299576001
Manhattan,Washington Heights,40.83311,-73.94238,Entire home/apt,30,17,0.24,1,140,4.406719247264253
Manhattan,Lower East Side,40.72038,-73.98504,Private room,30,46,0.64,6,333,4.574710978503383
Manhattan,Theater District,40.7607614,-73.98610550000001,Entire home/apt,31,0,0.0,1148,133,6.028278520230698
Brooklyn,Bushwick,40.70276,-73.91469,Private room,30,99,1.38,1,43,4.23410650459726
Manhattan,Morningside Heights,40.8102,-73.95913,Private room,30,188,2.63,2,144,4.127134385045092
Manhattan,Morningside Heights,40.81082,-73.95711,Private room,30,173,2.43,2,180,4.770684624465665
Manhattan,Lower East Side,40.7185,-73.98597,Private room,30,8,0.11,6,316,4.844187086458591
Brooklyn,Williamsburg,40.71515,-73.94205,Private room,30,21,0.29,1,210,4.127134385045092
Queens,Long Island City,40.7446,-73.94942,Entire home/apt,30,6,0.08,1,305,5.293304824724492
Queens,Springfield Gardens,40.67339,-73.75604,Private room,30,48,0.67,1,184,4.787491742782046
Brooklyn,Williamsburg,40.71347,-73.95679,Entire home/apt,30,11,0.16,1,140,5.823045895483019
Manhattan,Upper West Side,40.79096,-73.96795,Entire home/apt,30,6,0.08,1,88,5.700443573390687
Queens,Jackson Heights,40.75566,-73.8813,Entire home/apt,30,46,0.65,1,65,5.60947179518496
Manhattan,Harlem,40.80814,-73.95147,Private room,1,1,0.06,7,318,6.297109319933935
Brooklyn,Canarsie,40.64064,-73.89364,Entire home/apt,30,194,2.72,2,301,4.276666119016055
Manhattan,Theater District,40.7607614,-73.98610550000001,Entire home/apt,31,2,0.07,1148,314,6.401917196727186
Brooklyn,Canarsie,40.63455,-73.89494,Private room,30,108,1.62,3,275,4.812184355372417
Queens,Ridgewood,40.707,-73.90131,Private room,30,11,0.16,4,269,4.553876891600541
Brooklyn,Bedford-Stuyvesant,40.68448,-73.94401,Private room,2,228,3.25,1,206,4.430816798843313
Queens,St. Albans,40.7061,-73.75839,Private room,30,73,1.02,5,365,4.356708826689592
Manhattan,Gramercy,40.73246,-73.98511,Entire home/apt,30,11,0.21,7,194,4.941642422609304
Queens,Ridgewood,40.70535,-73.90261,Private room,30,38,0.53,4,359,4.248495242049359
Queens,Ridgewood,40.70513,-73.90976,Entire home/apt,30,37,0.72,1,173,5.19295685089021
Brooklyn,Bedford-Stuyvesant,40.68313,-73.91111,Private room,30,8,0.17,5,121,3.8066624897703196
Brooklyn,Bedford-Stuyvesant,40.69283,-73.94529,Private room,30,101,1.42,9,291,3.7612001156935624
Bronx,Throgs Neck,40.83174,-73.81748,Entire home/apt,30,0,0.0,1,365,5.771441123130016
Brooklyn,Williamsburg,40.71327,-73.96523,Private room,3,234,3.34,1,232,5.634789603169249
Manhattan,Upper West Side,40.80127,-73.96823,Private room,30,68,0.97,2,106,4.48863636973214
Queens,Astoria,40.75967,-73.92044,Private room,30,97,1.86,3,287,4.499809670330265
Manhattan,Tribeca,40.71579,-74.00587,Entire home/apt,31,0,0.0,1148,55,6.761572768804055
Brooklyn,Bedford-Stuyvesant,40.6847,-73.95348,Private room,30,19,0.27,1,173,4.174387269895637
Brooklyn,Bushwick,40.689720153808594,-73.91510009765625,Private room,3,89,1.25,5,66,4.543294782270004
Manhattan,Midtown,40.764608049852654,-73.98439704261631,Shared room,9,64,1.3,1,321,4.406719247264253
Brooklyn,Bedford-Stuyvesant,40.68534,-73.93462,Entire home/apt,30,4,0.08,1,83,5.8289456176102075
Manhattan,Upper West Side,40.7911888,-73.9737101,Entire home/apt,31,0,0.0,1148,284,5.869296913133774
Manhattan,Midtown,40.75806,-73.96935,Entire home/apt,30,0,0.0,77,365,5.455321115357702
Queens,Ridgewood,40.70652,-73.90102,Private room,30,34,0.5,4,297,4.2626798770413155
Queens,Arverne,40.59566,-73.79231,Private room,30,2,0.03,1,364,4.465908118654584
Bronx,Unionport,40.82451,-73.85288,Entire home/apt,30,42,0.59,1,363,4.875197323201151
Manhattan,Upper East Side,40.77477,-73.95365,Entire home/apt,30,10,0.17,77,335,4.787491742782046
Manhattan,SoHo,40.72168,-73.99839,Entire home/apt,30,15,0.29,1,329,5.093750200806762
Brooklyn,Flatlands,40.6312,-73.92639,Entire home/apt,30,41,0.57,4,173,4.31748811353631
Queens,Richmond Hill,40.69570434667095,-73.83034402952691,Private room,30,8,0.22,3,87,3.912023005428146
Manhattan,Harlem,40.80815887451172,-73.95484161376953,Entire home/apt,1,241,3.41,6,250,5.2574953720277815
Brooklyn,Canarsie,40.6466134991412,-73.90165967403017,Private room,30,12,0.17,5,365,4.454347296253507
Brooklyn,Bedford-Stuyvesant,40.69006,-73.95249,Entire home/apt,30,65,0.92,1,269,5.0106352940962555
Queens,East Elmhurst,40.76384,-73.86354,Entire home/apt,1,65,0.93,1,225,5.062595033026967
Manhattan,East Harlem,40.78404,-73.94506,Private room,60,7,0.1,2,298,4.31748811353631
Manhattan,Harlem,40.80336,-73.95753,Entire home/apt,59,8,0.12,7,285,4.787491742782046
Brooklyn,Greenpoint,40.72883,-73.94485,Entire home/apt,3,6,0.09,14,4,6.037870919922137
Brooklyn,Bedford-Stuyvesant,40.68206,-73.94785,Entire home/apt,60,21,0.3,1,66,5.37989735354046
Brooklyn,Williamsburg,40.71843,-73.96069,Entire home/apt,30,203,2.95,1,76,5.25227342804663
Manhattan,Chelsea,40.7521348,-74.001404,Entire home/apt,30,1,1.0,1,112,5.501258210544727
Queens,Ridgewood,40.70663,-73.90317,Private room,30,18,0.26,4,356,4.406719247264253
Queens,Ridgewood,40.70696,-73.90243,Private room,30,27,0.39,4,339,4.330733340286331
Brooklyn,Canarsie,40.64492920906818,-73.90220152565068,Private room,30,42,0.6,5,365,4.382026634673881
Manhattan,Little Italy,40.71999,-73.99585,Private room,30,247,3.55,2,360,4.68213122712422
Brooklyn,Fort Greene,40.69528,-73.9718,Entire home/apt,30,56,1.49,1,136,4.762173934797756
Brooklyn,Borough Park,40.64146,-73.99288,Entire home/apt,30,81,1.93,1,269,5.220355825078324
Manhattan,East Village,40.72676,-73.98319,Entire home/apt,30,8,0.11,1,353,5.093750200806762
Brooklyn,Clinton Hill,40.68252,-73.96543,Entire home/apt,30,26,0.37,3,161,4.68213122712422
Brooklyn,Bushwick,40.70139,-73.93085,Entire home/apt,30,4,0.09,1,335,5.220355825078324
Brooklyn,Bushwick,40.70162,-73.92955,Private room,30,71,1.01,1,184,5.41610040220442
Manhattan,Upper West Side,40.78622,-73.96947,Entire home/apt,30,7,0.14,4,92,4.948759890378168
Brooklyn,East Flatbush,40.64246,-73.9493,Entire home/apt,30,27,0.38,1,137,5.220355825078324
Brooklyn,Navy Yard,40.69829,-73.97559,Entire home/apt,30,0,0.0,1,179,5.676753802268282
Queens,Jamaica,40.67744,-73.78965,Private room,30,34,0.48,5,178,3.713572066704308
Manhattan,Harlem,40.82352,-73.94428,Entire home/apt,3,25,0.48,3,243,5.564520407322694
Manhattan,East Village,40.72352,-73.97617,Entire home/apt,30,3,0.06,1,168,4.5217885770490405
Brooklyn,Williamsburg,40.7141,-73.95104,Entire home/apt,30,20,0.28,1,71,5.41610040220442
Queens,St. Albans,40.69154,-73.7479,Entire home/apt,30,37,0.53,2,64,4.919980925828125
Brooklyn,Sunset Park,40.64812,-74.00578,Private room,30,0,0.0,2,358,4.343805421853684
Brooklyn,Carroll Gardens,40.68343,-73.99511,Entire home/apt,30,1,0.04,1,220,5.5134287461649825
Manhattan,Hell's Kitchen,40.76332,-73.99032,Entire home/apt,30,41,0.58,4,311,5.652489180268651
Brooklyn,East Flatbush,40.64797,-73.94355,Private room,30,34,0.57,1,346,4.23410650459726
Queens,Sunnyside,40.74558,-73.91243,Entire home/apt,30,0,0.0,1,269,5.5254529391317835
Brooklyn,Sunset Park,40.64202,-74.02021,Entire home/apt,30,10,0.14,1,76,4.983606621708336
Manhattan,Harlem,40.8258,-73.95185,Private room,30,0,0.0,3,270,4.882801922586371
Manhattan,Harlem,40.82409,-73.94022,Private room,30,113,1.61,1,243,5.10594547390058
Brooklyn,East New York,40.67512,-73.89191,Entire home/apt,30,5,0.13,4,179,5.703782474656201
Staten Island,Emerson Hill,40.60634294108247,-74.13984009122109,Private room,30,0,0.0,2,269,4.564348191467836
Manhattan,Chelsea,40.74782,-74.00348,Entire home/apt,30,5,0.07,77,364,5.700443573390687
Manhattan,Tribeca,40.714,-74.00956,Entire home/apt,31,1,0.04,1148,290,6.104793232414985
Brooklyn,Bushwick,40.68877,-73.91375,Private room,3,212,3.03,1,215,5.176149732573829
Staten Island,St. George,40.64061,-74.08582,Private room,30,122,1.75,1,269,4.912654885736052
Bronx,Norwood,40.881847,-73.877876,Private room,30,0,0.0,1,364,5.030437921392435
Manhattan,Hell's Kitchen,40.76545,-73.99009,Entire home/apt,30,1,0.01,4,216,5.583496308781699
Brooklyn,Canarsie,40.63822,-73.90648,Entire home/apt,30,78,1.14,1,270,4.820281565605037
Brooklyn,Prospect-Lefferts Gardens,40.65879,-73.94152,Entire home/apt,30,0,0.0,77,365,5.0106352940962555
Brooklyn,Fort Greene,40.68781,-73.97759,Entire home/apt,31,3,0.07,1,80,4.941642422609304
Brooklyn,Park Slope,40.66616,-73.97946,Entire home/apt,30,148,2.11,1,150,5.318119993844216
Brooklyn,East Flatbush,40.65672,-73.91738,Private room,30,9,0.13,9,270,4.07753744390572
Brooklyn,East New York,40.66185,-73.88953,Entire home/apt,2,114,1.63,1,237,5.472270673671475
Brooklyn,Bedford-Stuyvesant,40.6844,-73.95347,Entire home/apt,30,115,1.64,1,335,4.653960350157523
Queens,Whitestone,40.7842,-73.82191,Private room,30,21,0.76,3,89,4.465908118654584
Brooklyn,Sheepshead Bay,40.58542,-73.9352,Entire home/apt,30,2,0.04,3,88,5.541263545158426
Brooklyn,Flatbush,40.64332,-73.95544,Entire home/apt,30,18,0.26,2,149,5.598421958998375
Brooklyn,Flatbush,40.64055,-73.95288,Entire home/apt,30,179,2.54,1,365,5.298317366548036
Queens,East Elmhurst,40.76628,-73.86635,Entire home/apt,30,196,2.8,1,361,5.056245805348308
Queens,Sunnyside,40.74698,-73.91763,Private room,30,16,0.23,3,77,4.189654742026425
Brooklyn,Williamsburg,40.713163020317545,-73.94307731925448,Private room,30,26,0.86,1,187,4.0943445622221
Brooklyn,Crown Heights,40.67412,-73.94123,Entire home/apt,30,1,0.03,1,224,6.052089168924417
Manhattan,East Village,40.72147,-73.9827,Private room,30,20,0.4,8,168,4.330733340286331
Queens,Ozone Park,40.6823,-73.84545,Entire home/apt,30,93,1.46,2,364,4.574710978503383
Queens,Ridgewood,40.70652,-73.90286,Private room,30,25,0.36,4,333,4.418840607796598
Manhattan,Midtown,40.76561,-73.97729,Entire home/apt,30,12,0.18,6,274,6.040254711277414
Manhattan,Financial District,40.70797,-74.00683,Entire home/apt,1,34,0.49,86,245,6.104793232414985
Brooklyn,East New York,40.65953,-73.89367,Private room,30,54,0.77,8,365,4.59511985013459
Brooklyn,East New York,40.65797,-73.89294,Private room,30,76,1.12,8,365,4.499809670330265
Manhattan,Upper East Side,40.7836,-73.95221,Entire home/apt,30,9,0.2,77,329,5.043425116919247
Brooklyn,Sunset Park,40.64264,-74.01423,Entire home/apt,30,1,0.01,1,269,5.135798437050262
Brooklyn,Bedford-Stuyvesant,40.69418,-73.94186,Entire home/apt,30,6,0.21,2,198,6.095824562432225
Manhattan,Murray Hill,40.750240325927734,-73.97774505615234,Entire home/apt,30,16,0.24,138,333,5.1298987149230735
Manhattan,Upper West Side,40.78673,-73.96956,Entire home/apt,30,147,2.1,9,324,5.75890177387728
Brooklyn,Clinton Hill,40.69517,-73.96711,Entire home/apt,30,43,0.63,1,93,4.584967478670572
Manhattan,Lower East Side,40.71854,-73.98464,Private room,30,4,0.08,6,351,4.844187086458591
Queens,Ridgewood,40.70701,-73.91565,Entire home/apt,30,10,0.23,3,365,5.43372200355424
Brooklyn,Park Slope,40.6762,-73.98,Entire home/apt,30,4,0.1,1,168,5.1647859739235145
Queens,Ridgewood,40.7053,-73.90283,Private room,30,24,0.34,4,273,4.477336814478207
Brooklyn,Bedford-Stuyvesant,40.69347,-73.94399,Entire home/apt,30,57,0.81,5,180,5.318119993844216
Brooklyn,Bedford-Stuyvesant,40.69473,-73.94553,Private room,30,24,0.34,5,361,4.394449154672439
Queens,Astoria,40.75692,-73.92436,Entire home/apt,90,174,2.48,1,270,5.135798437050262
Manhattan,Upper East Side,40.77077102661133,-73.95748138427734,Entire home/apt,30,9,0.13,241,334,5.976350909297934
Brooklyn,Williamsburg,40.70852,-73.96133,Entire home/apt,30,0,0.0,1,178,5.703782474656201
Brooklyn,Bedford-Stuyvesant,40.69532975195506,-73.93631657921684,Private room,5,45,0.64,2,100,4.454347296253507
Brooklyn,Park Slope,40.67893,-73.97539,Entire home/apt,30,26,0.54,1,68,5.908082938168931
Brooklyn,East New York,40.6677378,-73.8860444,Private room,30,122,1.74,1,251,5.384495062789089
Manhattan,Lower East Side,40.71933,-73.99168,Entire home/apt,30,3,0.12,5,284,5.247024072160486
Queens,Jamaica Hills,40.71169,-73.80159,Private room,30,1,0.02,1,268,5.159055299214529
Staten Island,Randall Manor,40.63587,-74.1213,Private room,30,21,0.3,1,213,3.912023005428146
Queens,Bayside,40.7616,-73.77284,Entire home/apt,30,8,0.13,2,111,4.787491742782046
Brooklyn,Bushwick,40.69025,-73.91424,Entire home/apt,30,87,1.24,4,259,5.262690188904886
Queens,Bayside,40.76332,-73.77117,Entire home/apt,30,7,0.14,9,179,4.74493212836325
Bronx,Mott Haven,40.80991,-73.91211,Entire home/apt,30,34,0.49,1,246,4.9344739331306915
Queens,Sunnyside,40.74325,-73.91666,Entire home/apt,30,0,0.0,1,177,4.90527477843843
Brooklyn,Bedford-Stuyvesant,40.67737,-73.90923,Entire home/apt,30,9,0.13,4,185,5.0369526024136295
Manhattan,Hell's Kitchen,40.76112,-73.99746,Entire home/apt,30,32,0.74,3,365,6.80128303447162
Brooklyn,Crown Heights,40.67555,-73.91053,Private room,30,10,0.14,4,215,5.056245805348308
Queens,Jackson Heights,40.75160140176616,-73.89332691939242,Private room,3,61,0.87,2,298,5.093750200806762
Bronx,Allerton,40.86823,-73.85762,Entire home/apt,30,7,0.11,1,293,6.29156913955832
Brooklyn,Bushwick,40.70396,-73.91655,Private room,1,290,4.14,1,321,5.424950017481403
Manhattan,Midtown,40.74808,-73.98828,Entire home/apt,1,91,1.43,5,10,5.966146739123692
Manhattan,Midtown,40.74795,-73.98692,Entire home/apt,1,85,1.33,5,17,5.91350300563827
Brooklyn,Bushwick,40.70732,-73.92137,Entire home/apt,30,12,0.2,1,58,4.74493212836325
Manhattan,Midtown,40.74829,-73.98757,Entire home/apt,1,127,1.82,5,16,5.872117789475416
Queens,Jamaica,40.67376,-73.78431,Private room,30,22,0.56,1,57,3.784189633918261
Brooklyn,Flatbush,40.65017,-73.9536,Private room,31,0,0.0,1,316,3.6888794541139363
Brooklyn,Kensington,40.63544,-73.97445,Entire home/apt,30,16,0.24,1,328,4.59511985013459
Manhattan,Midtown,40.7476,-73.98691,Entire home/apt,1,125,1.8,5,15,5.908082938168931
Manhattan,Lower East Side,40.71414,-73.98837,Entire home/apt,30,7,0.27,1,113,5.19295685089021
Brooklyn,Bedford-Stuyvesant,40.68601933378367,-73.94500267086929,Entire home/apt,5,132,1.89,1,34,5.3471075307174685
Manhattan,East Harlem,40.79908381132893,-73.93789562195283,Entire home/apt,30,0,0.0,2,173,5.0106352940962555
Manhattan,Chelsea,40.75101,-74.00504,Entire home/apt,60,0,0.0,1,365,5.857933154483459
Queens,Flushing,40.74596,-73.82688,Entire home/apt,30,62,0.9,1,364,6.156978985585555
Manhattan,Washington Heights,40.84855,-73.93681,Entire home/apt,30,54,0.77,2,90,4.736198448394496
Brooklyn,East Flatbush,40.65913,-73.93535,Private room,30,48,0.71,2,89,3.7612001156935624
Manhattan,Little Italy,40.71759,-73.99853,Entire home/apt,1,256,4.72,1,321,6.456769655572163
Brooklyn,Clinton Hill,40.68112,-73.96268,Private room,30,69,1.0,1,270,5.062595033026967
Brooklyn,Bedford-Stuyvesant,40.67898,-73.91004,Entire home/apt,30,8,0.12,2,180,4.844187086458591
Queens,Rockaway Beach,40.58985,-73.80592,Private room,30,0,0.0,1,358,4.8283137373023015
Brooklyn,Bedford-Stuyvesant,40.68138,-73.94128,Entire home/apt,30,16,0.23,1,89,4.969813299576001
Manhattan,Hell's Kitchen,40.76778789999999,-73.99174099999999,Entire home/apt,31,1,0.05,1148,321,6.3835066348840055
Brooklyn,Greenpoint,40.73552,-73.9571,Entire home/apt,30,18,0.26,1,246,5.703782474656201
Queens,Long Island City,40.75404,-73.93119,Entire home/apt,30,13,0.26,3,272,5.365976015021851
Manhattan,Upper East Side,40.77454,-73.95194,Entire home/apt,30,0,0.0,1,205,5.921578419643816
Brooklyn,Borough Park,40.64235,-73.99998,Private room,30,67,0.96,1,222,3.9318256327243257
Manhattan,Hell's Kitchen,40.76797,-73.98513,Entire home/apt,30,7,0.1,2,197,6.655440350367647
Manhattan,Midtown,40.7484,-73.98757,Entire home/apt,2,174,2.52,13,75,6.234410725718371
Manhattan,Chelsea,40.74176,-74.00038,Entire home/apt,30,135,1.94,1,218,6.476972362889683
Queens,East Elmhurst,40.7634,-73.86871,Private room,30,84,1.29,6,258,3.58351893845611
Brooklyn,Crown Heights,40.67627,-73.94137,Private room,3,300,4.3,1,86,5.327876168789581
Brooklyn,Bedford-Stuyvesant,40.69028,-73.92886,Private room,1,255,3.65,8,60,4.59511985013459
Queens,Arverne,40.5943,-73.79492,Entire home/apt,30,62,0.89,1,267,5.075173815233827
Brooklyn,Williamsburg,40.71135,-73.94946,Entire home/apt,30,64,0.94,1,174,5.41610040220442
Manhattan,Upper West Side,40.76862,-73.98513,Entire home/apt,30,4,0.1,2,335,6.546785410760524
Brooklyn,Fort Greene,40.68834,-73.97729,Entire home/apt,30,11,0.16,2,209,6.003887067106539
Brooklyn,Bedford-Stuyvesant,40.67947,-73.94293,Entire home/apt,30,66,1.19,1,337,5.5134287461649825
Brooklyn,Bedford-Stuyvesant,40.68963,-73.93174,Private room,2,166,2.4,1,35,4.927253685157205
Brooklyn,Greenpoint,40.73013,-73.95508,Entire home/apt,60,3,0.05,1,286,4.787491742782046
Manhattan,Midtown,40.76526,-73.9767,Entire home/apt,7,7,0.13,20,278,6.790097235513905
Brooklyn,Williamsburg,40.71293,-73.96533,Private room,1,166,3.99,2,25,5.135798437050262
Manhattan,Midtown,40.7653,-73.97642,Entire home/apt,7,4,0.07,20,297,6.606650186198215
Brooklyn,Flatbush,40.64344,-73.96109,Private room,4,34,0.49,1,148,4.962844630259907
Manhattan,East Harlem,40.7956,-73.945,Private room,30,23,0.47,2,181,4.672828834461906
Brooklyn,Greenpoint,40.72753,-73.95606,Private room,30,37,0.54,3,225,4.174387269895637
Queens,St. Albans,40.69865,-73.76679,Entire home/apt,30,1,0.02,1,268,5.886104031450156
Brooklyn,Prospect-Lefferts Gardens,40.6571,-73.95195,Entire home/apt,30,121,1.76,1,105,5.308267697401205
Bronx,Morris Park,40.85251,-73.85052,Private room,30,3,0.11,6,237,4.04305126783455
Brooklyn,East Flatbush,40.64175798932526,-73.94091993550265,Entire home/apt,30,4,0.1,2,362,4.499809670330265
Manhattan,SoHo,40.72678,-74.00176,Entire home/apt,30,7,0.14,1,64,5.170483995038151
Manhattan,Upper East Side,40.78196,-73.95055,Private room,30,0,0.0,1,31,4.90527477843843
Brooklyn,Williamsburg,40.71325,-73.95488,Entire home/apt,30,0,0.0,2,365,6.520621127558696
Brooklyn,Greenpoint,40.72934918699199,-73.95755483049604,Private room,3,118,2.67,3,220,4.897839799950911
Manhattan,Midtown,40.74637,-73.98876,Entire home/apt,2,64,0.94,13,72,6.152732694704104
Manhattan,Midtown,40.74608,-73.98852,Entire home/apt,2,168,2.47,13,46,5.746203190540153
Brooklyn,Cypress Hills,40.67614,-73.90038,Entire home/apt,30,140,2.03,2,175,4.48863636973214
Brooklyn,Bushwick,40.68605,-73.91533,Entire home/apt,30,5,0.07,2,196,5.41610040220442
Brooklyn,Bedford-Stuyvesant,40.68375,-73.93663,Entire home/apt,3,80,3.65,1,256,5.41610040220442
Manhattan,Kips Bay,40.73891067504883,-73.98082733154297,Entire home/apt,30,7,0.11,241,354,5.393627546352362
Manhattan,Kips Bay,40.73891067504883,-73.98082733154297,Entire home/apt,30,6,0.1,241,365,5.337538079701318
Queens,Arverne,40.5928,-73.79781,Entire home/apt,30,42,0.64,4,328,4.61512051684126
Brooklyn,Greenpoint,40.72749,-73.95069,Entire home/apt,30,8,0.15,1,84,7.313220387090301
Manhattan,Midtown,40.74815,-73.98892,Entire home/apt,1,133,1.93,5,14,5.966146739123692
Manhattan,Harlem,40.82697,-73.93944,Private room,30,104,1.5,1,240,3.912023005428146
Manhattan,NoHo,40.7253,-73.99395,Entire home/apt,30,10,0.16,1,286,5.926926025970411
Bronx,Pelham Gardens,40.85924,-73.8495,Private room,30,10,0.15,2,198,3.58351893845611
Queens,Flushing,40.76324,-73.82956,Private room,30,20,0.29,3,365,4.48863636973214
Manhattan,Kips Bay,40.74447,-73.97961,Entire home/apt,30,1,0.02,138,274,4.955827057601261
Queens,Flushing,40.76558547214326,-73.8305538502126,Private room,30,12,0.17,1,327,4.48863636973214
Staten Island,Bull's Head,40.61533,-74.16451,Private room,30,11,0.43,1,269,4.553876891600541
Queens,Flushing,40.76494008113507,-73.83085582816149,Private room,30,9,0.13,3,351,4.454347296253507
Bronx,Concourse,40.82981,-73.92697,Entire home/apt,30,9,0.13,1,60,4.543294782270004
Manhattan,Upper East Side,40.77077102661133,-73.95748138427734,Entire home/apt,30,9,0.18,241,341,5.953243334287785
Brooklyn,Greenpoint,40.72051,-73.95421,Entire home/apt,30,30,2.31,1,118,5.43372200355424
Brooklyn,Flatbush,40.63134,-73.9572,Entire home/apt,30,63,0.91,2,338,5.19295685089021
Brooklyn,Brighton Beach,40.57674,-73.96193,Private room,30,12,0.18,3,88,4.290459441148391
Manhattan,Tribeca,40.714,-74.00956,Entire home/apt,31,0,0.0,1148,349,6.175867270105761
Staten Island,Tompkinsville,40.63205,-74.09133,Entire home/apt,30,134,1.94,1,364,4.584967478670572
Brooklyn,Prospect-Lefferts Gardens,40.65709,-73.94877,Entire home/apt,30,99,1.45,1,332,5.2574953720277815
Staten Island,Mariners Harbor,40.63686,-74.1537,Entire home/apt,30,19,0.28,1,118,3.8501476017100584
Queens,Laurelton,40.67389,-73.75,Entire home/apt,30,84,1.23,2,273,4.499809670330265
Bronx,Mount Hope,40.848261,-73.9044553,Private room,1,183,2.68,1,219,4.0943445622221
Brooklyn,Williamsburg,40.71643,-73.94535,Entire home/apt,30,30,0.78,1,254,5.7745515455444085
Manhattan,Hell's Kitchen,40.76434,-73.99464,Entire home/apt,30,8,0.12,1,93,6.70808408385307
Manhattan,East Village,40.72762,-73.98941,Private room,30,6,0.12,1,180,5.278114659230517
Manhattan,Harlem,40.80256,-73.95261,Private room,30,0,0.0,2,60,4.394449154672439
Brooklyn,Williamsburg,40.71295,-73.95542,Private room,30,18,0.39,2,365,5.697093486505405
Queens,Jamaica,40.67130778311602,-73.77869916153148,Private room,1,350,5.06,3,341,4.382026634673881
Brooklyn,Bedford-Stuyvesant,40.68944,-73.94402,Entire home/apt,30,128,2.04,1,216,4.553876891600541
Brooklyn,Crown Heights,40.67742,-73.9468,Private room,2,170,2.48,1,319,5.062595033026967
Brooklyn,Clinton Hill,40.68951,-73.96739,Private room,30,3,0.1,2,230,5.220355825078324
Brooklyn,Prospect Heights,40.67409,-73.96691,Private room,30,22,0.66,2,162,4.382026634673881
Brooklyn,East New York,40.66749,-73.8836,Entire home/apt,30,27,0.39,2,179,5.393627546352362
