neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,log_price
Manhattan,East Village,40.72547,-73.98619,Entire home/apt,30,173,1.36,1,145,5.855071922202427
Brooklyn,Gowanus,40.68088,-73.99102,Entire home/apt,30,249,1.53,2,267,5.342334251964811
Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,30,90,0.51,1,48,5.19295685089021
Manhattan,Upper West Side,40.78846,-73.97459,Entire home/apt,30,38,0.22,1,292,5.247024072160486
Manhattan,Nolita,40.72,-73.99487,Entire home/apt,30,248,1.4,1,174,6.489204931325317
Queens,Astoria,40.77507,-73.93367,Private room,30,268,1.54,1,365,4.77912349311153
Manhattan,Chinatown,40.71624,-73.994,Entire home/apt,30,423,2.38,1,296,5.0369526024136295
Brooklyn,Bedford-Stuyvesant,40.695588790857855,-73.95461923691613,Private room,30,20,0.11,1,364,5.402677381872279
Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,1,10,0.06,29,57,6.240275845170769
Brooklyn,Greenpoint,40.73777,-73.95366,Private room,1,10,0.06,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73777,-73.95366,Private room,1,2,0.01,29,60,6.059123195581797
Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,30,83,0.7,1,288,5.10594547390058
Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,30,252,1.43,1,335,4.290459441148391
Brooklyn,Downtown Brooklyn,40.69132,-73.98573,Private room,30,5,0.03,1,334,5.111987788356544
Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,1,39,0.23,29,58,5.942799375126701
Brooklyn,Clinton Hill,40.68513,-73.96648,Entire home/apt,30,0,0.0,3,358,6.684611727667927
Brooklyn,Bedford-Stuyvesant,40.684569430603325,-73.93840021354636,Entire home/apt,30,173,0.99,2,290,5.10594547390058
Brooklyn,Crown Heights,40.6736,-73.9551,Entire home/apt,10,172,0.98,1,78,5.093750200806762
Manhattan,Chelsea,40.75077,-73.99657,Entire home/apt,30,18,0.1,1,275,5.0106352940962555
Manhattan,Washington Heights,40.85433,-73.9324,Private room,30,150,0.86,1,173,4.127134385045092
Brooklyn,Gowanus,40.66952,-73.99201,Entire home/apt,30,125,0.72,1,74,5.0106352940962555
Brooklyn,Greenpoint,40.73778,-73.95366,Private room,1,8,0.05,29,0,6.380122536899765
Brooklyn,Fort Greene,40.693047,-73.971985,Entire home/apt,30,284,1.62,1,274,5.560681631015528
Queens,Rockaway Beach,40.58603,-73.8145,Private room,30,16,0.09,1,88,4.736198448394496
Manhattan,Harlem,40.82772,-73.95284,Private room,30,476,2.72,1,259,4.343805421853684
Brooklyn,Bedford-Stuyvesant,40.68647,-73.95862,Entire home/apt,30,124,0.71,1,95,5.198497031265826
Brooklyn,Clinton Hill,40.68615,-73.96769,Entire home/apt,50,12,0.07,1,103,5.3981627015177525
Brooklyn,Greenpoint,40.72741,-73.95466,Entire home/apt,30,353,2.03,2,105,5.1647859739235145
Brooklyn,Fort Greene,40.69132,-73.97306,Private room,30,178,1.02,2,365,4.553876891600541
Brooklyn,Crown Heights,40.67582,-73.9518,Private room,30,277,1.59,2,297,4.0943445622221
Manhattan,Harlem,40.82402,-73.95263,Private room,30,34,0.19,1,303,4.060443010546419
Manhattan,Harlem,40.80384,-73.95123,Entire home/apt,30,184,1.05,1,219,4.442651256490317
Brooklyn,Bedford-Stuyvesant,40.68462,-73.92895,Entire home/apt,30,97,0.57,1,286,4.499809670330265
Brooklyn,Bedford-Stuyvesant,40.68595,-73.92923,Entire home/apt,30,94,0.64,1,335,4.59511985013459
Brooklyn,Fort Greene,40.68646,-73.97548,Entire home/apt,30,136,0.8,1,184,5.241747015059643
Brooklyn,Park Slope,40.67497,-73.97796,Private room,3,54,0.34,1,69,5.583496308781699
Brooklyn,Williamsburg,40.71347,-73.96035,Entire home/apt,30,193,1.12,1,97,5.634789603169249
Manhattan,Harlem,40.80687,-73.95333,Entire home/apt,30,30,0.17,2,365,5.556828061699537
Manhattan,Harlem,40.80392,-73.94765,Entire home/apt,30,18,0.1,1,358,5.1647859739235145
Brooklyn,Williamsburg,40.71345,-73.94289,Entire home/apt,30,114,0.72,1,334,5.768320995793772
Manhattan,Upper West Side,40.79999,-73.96338,Entire home/apt,31,312,1.91,2,312,4.804021044733257
Manhattan,Lower East Side,40.7203,-73.98424,Private room,4,91,0.53,1,310,6.240275845170769
Queens,Astoria,40.7573,-73.91488,Entire home/apt,2,549,3.21,1,280,5.616771097666572
Manhattan,Harlem,40.80493,-73.94999,Private room,2,395,2.31,2,313,5.5134287461649825
Brooklyn,Bedford-Stuyvesant,40.68096,-73.94062,Entire home/apt,30,90,0.52,1,274,4.23410650459726
Brooklyn,Bedford-Stuyvesant,40.68511,-73.91927,Private room,30,27,0.16,4,365,5.087596335232384
Brooklyn,Crown Heights,40.67188,-73.95097,Entire home/apt,30,31,0.19,1,240,4.804021044733257
Manhattan,Upper West Side,40.79864,-73.96209,Entire home/apt,31,190,1.1,1,335,5.736572297479192
Brooklyn,Gravesend,40.60602,-73.97076,Private room,30,0,0.0,2,361,5.087596335232384
Brooklyn,Fort Greene,40.68877615321917,-73.97762359693657,Private room,2,313,2.25,2,295,4.653960350157523
Brooklyn,Crown Heights,40.67545,-73.96096,Entire home/apt,30,31,0.18,1,53,4.61512051684126
Manhattan,Kips Bay,40.74045,-73.9749,Entire home/apt,30,130,0.76,1,274,5.0106352940962555
Manhattan,East Village,40.72113,-73.98213,Private room,30,128,0.75,1,83,5.1647859739235145
Manhattan,East Harlem,40.78959,-73.94705,Entire home/apt,30,128,0.75,1,334,4.890349128221754
Manhattan,Hell's Kitchen,40.76263,-73.99401,Private room,2,189,1.14,1,59,5.19295685089021
Brooklyn,Park Slope,40.66836,-73.98166,Entire home/apt,30,313,1.9,1,354,4.867534450455582
Manhattan,Chelsea,40.74697296939259,-74.00178397023312,Private room,2,166,0.99,1,203,4.897839799950911
Manhattan,Washington Heights,40.83338,-73.94326,Private room,30,229,1.33,1,365,4.330733340286331
Brooklyn,Flatbush,40.65468,-73.95721,Private room,30,90,0.56,1,88,4.0943445622221
Brooklyn,Park Slope,40.6767158,-73.9818207,Private room,3,230,1.34,1,9,4.890349128221754
Manhattan,Upper West Side,40.78096,-73.98808,Entire home/apt,30,133,0.78,1,88,5.493061443340548
Brooklyn,Crown Heights,40.67635,-73.96108,Entire home/apt,30,133,0.78,2,334,4.955827057601261
Manhattan,Stuyvesant Town,40.73125,-73.9811,Entire home/apt,30,21,0.12,1,58,4.8283137373023015
Brooklyn,Clinton Hill,40.687,-73.96149,Entire home/apt,30,115,0.67,2,41,5.986452005284438
Brooklyn,Bedford-Stuyvesant,40.68339,-73.94034,Entire home/apt,30,158,0.92,1,178,5.220355825078324
Brooklyn,Sheepshead Bay,40.5847,-73.94088,Private room,30,125,0.73,2,87,4.174387269895637
Brooklyn,Bedford-Stuyvesant,40.69049,-73.93212,Entire home/apt,30,67,0.39,1,334,4.48863636973214
Queens,Sunnyside,40.73933410644531,-73.9248046875,Private room,30,314,1.9,1,300,4.2626798770413155
Manhattan,Chinatown,40.71681594848633,-73.98969268798828,Private room,5,93,0.74,1,292,5.393627546352362
Brooklyn,Fort Greene,40.69062,-73.97354,Private room,30,156,0.91,2,181,5.209486152841421
Brooklyn,Fort Hamilton,40.61933,-74.03208,Entire home/apt,30,12,0.07,1,175,4.795790545596741
